post_id,target_ticker,label_camilo,label_esteban,confianza_camilo,confianza_esteban,confianza_total,clean_text_camilo,nota_camilo,nota_esteban
35946499,DIS,neutral,unusable,3,3,6,10 45am stocks buzz dis jd jrjc lh,,
458678897,DIS,unusable,bullish,3,3,6,dis wow,,
2656343,CMG,bullish,unusable,3,3,6,cmg finally moving out of the shadows today.,,
25568610,TGT,neutral,unusable,3,3,6,august 8 2014 chart patterns yhoo gfi tgt tibx clf iag bby swx two,,
39982060,CMG,neutral,unusable,3,3,6,end of day scan over bollinger band aapl abc cprx mrge ery amri cmg mnst fgen algn day trading room,informativo scan,
352464740,CRWD,neutral,bearish,3,3,6,"(video analysis - 20 trade ideas for the week ahead) tech absolutely ripped higher last week, but what next? pton se crwd plug and is cat going to keep declining or move higher? all assessed in detail.",lista video,
455303665,DDOG,neutral,bearish,3,3,6,"insider madre armelle de reports selling 5,625 shares of ddog for a total cost of 683,829.69",informativo,
324061719,DDOG,neutral,bullish,3,3,6,ddog news for datadog? 6.18%?,,"no es predicción, ya pasó"
494985205,DIS,unusable,bullish,3,3,6,"ftt-x dis nrbo hudi mack ' yet, another successful day in the stock market. 32,700 on the day, thanks to the xt analyst alerts! 100% recommend joining discord.io drmtyauvwq",spam,
73463545,CMG,bearish,neutral,3,3,6,"cmg reported 4q16 net income of 15.98mm or 0.55 per share, down from 67.87mm or 2.17 per share last year.",,
138072563,CMG,bearish,neutral,3,3,6,"cmg wage pressure builds in restaurant sector sep. 20, 2018 9 39 am et by clark schultz, sa news editor",,
487661677,TGT,neutral,bearish,3,2,5,"here's what has retail stocks wmt, tgt, and cost slipping today!",informativo,
423643669,TGT,neutral,unusable,3,2,5,wmt price action not news is what is propelling this higher - resistance tapers off into the kirby overhead. tgt wmt kirby explained,habla de WMT principalmente,
394018196,CMG,neutral,bearish,2,3,5,cmg so many bears,,
3911001,CMG,neutral,bearish,3,2,5,"cmg filed yesterday for a 3.6 m stock offering, didn't hear a word about it anywhere. naturally, it's not affecting the stock (",,
82646585,CMG,neutral,bullish,3,2,5,"cmg this is bumping upward, wonder what catalyst is, especially on what's probably going to be a down day on the market overall",,
126987484,CMG,bearish,neutral,3,2,5,"cmg analysts on estimize expect -79.15% yoy growth in comp. restaurant sales for q2, down from 134.32% in previous year reporting 07 ...",,
443173549,DDOG,neutral,bullish,3,2,5,ddog volatility is king!! simulated weekly 141.0 calls for friday's open on stockorbit.,informativo de plataforma,
121199712,TGT,bearish,unusable,3,2,5,jd ge fcx t rig nxpi f amd cbi twtr kr msft baba skt wmt yndx rig tgt bbd bmy psx cnq aapl larges put oi increases,puts on tgt,
2901910,CMG,bullish,neutral,2,3,5,cmg holding above its 10 day moving avg. -,,
220822232,DDOG,neutral,bullish,3,2,5,ddog datadog announces integration with amazon elastic file system for aws lambda,informativo,
207883340,CMG,bearish,bullish,3,2,5,"cmg keep shorting, shorting is good thing for the stock",,
211480979,CRWD,bullish,neutral,2,3,5,crwd 77 could be our lucky number,,
212561364,DDOG,bearish,unusable,3,2,5,"sell signals, 'operation warp speed,' trading notes amzn gsk mrna jnj pfe nvax ino sny tbio wmt ddog baba agn amat spx comp",,
90218845,CMG,unusable,bearish,3,2,5,cmg cant trust someone who quad posts about something that was reported multiple days ago.. zero market awareness,,
241228189,CRWD,neutral,bearish,3,2,5,crwd ceo sold shares? wondering why?,pregunta,
242449815,DIS,neutral,bullish,3,2,5,top market cap gainers today aaigf 7.67 b nkla 5.49 b acgby 4.51 b cichy 4.33 b dis 3.93 b more,,"no es predicción, ya pasó"
250013376,DDOG,neutral,bullish,2,3,5,ddog went up too fast. can we see 105 soon?,,"no es predicción, ya pasó"
434885776,DIS,bearish,bullish,2,2,4,exposeespn dis is now trending on twtr . people may look to alternative sports networks. fubo penn,,
216733710,NCLH,unusable,neutral,2,2,4,"nclh see you soon and good luck to all, what a day!!!",,
3897339,CMG,unusable,bullish,2,2,4,"kohlerbathroomfixture gutsy, i like it. cmg",,
207019941,DIS,unusable,bullish,3,1,4,"gilead news sparks talks of reopening, opportunities surface among key stocks aapl, abbv, amzn, atvi, ba, bac, bmy, c, cmg, dal, deac, dis, docu, expe, fb, fun, gild, goog, googl, jpm, luv, lyv, mar, mcd, mdb, meet, msg, mtch, nflx, pton, roku, sbux, shak, snap, twtr, wfc, work, yumc, zm",lista,
496561182,TGT,neutral,unusable,2,2,4,traderrapp ac3 cubie77 chai182 3dancers areli5516 arrghhh look at tgt,,
7672932,CMG,bullish,bearish,2,2,4,"based on its stock price, i expect a shortage in the rat market. rt tangletrade i expect to see cmg hit at least 416 next wek",,
458984827,NCLH,bullish,bearish,2,1,3,nclh mark it it'll close below 15 today this will not pay any weekly calls out but from next week this should bounce,short term bear long term bull,
181506425,CRWD,unusable,bullish,1,2,3,crwd finally!,no context,
163793867,DIS,unusable,bearish,2,1,3,dis just wtf?,,
45760889,CMG,unusable,bearish,1,1,2,"you can't make this sh ! up, chipolte! cmg",No clear direction,
